Group,AdjustedRate,Gap_vs_Priv,threshold
Latina Women,0.916133617626155,0.23851804584999925,0.095
Other,0.7178367010666898,0.04022112929053412,0.095
White Women,0.6776155717761557,0.0,0.095
Asian Women,0.793024021059559,0.13400420875507524,0.1
Black Women,0.8264954588161604,0.16747564651167657,0.1
Latina Women,0.9076048329779673,0.24858502067348354,0.1
Other,0.7042320700719799,0.045212257767496045,0.1
White Women,0.6590198123044838,0.0,0.1
Asian Women,0.7775584073708457,0.14669292249076227,0.105
Black Women,0.807077983088005,0.17621249820792162,0.105
Latina Women,0.8916133617626155,0.2607478768825321,0.105
Other,0.6849362587806782,0.05407077390059478,0.105
White Women,0.6308654848800834,0.0,0.105
Asian Women,0.7680157946692991,0.1553984849716975,0.11
Black Women,0.7948637644848106,0.1822464547872089,0.11
Latina Women,0.8830845771144279,0.27046726741682625,0.11
Other,0.6726649900268841,0.06004768032928243,0.11
White Women,0.6126173096976016,0.0,0.11
Asian Women,0.7548535702533729,0.16256994147339365,0.115
Black Women,0.7773253993109928,0.18504177053101356,0.115
Latina Women,0.8692253020611229,0.2769416732811437,0.115
Other,0.6547784233804527,0.06249479460047347,0.115
White Women,0.5922836287799792,0.0,0.115
Asian Women,0.7423494570582428,0.16449057627965402,0.12
Black Women,0.7654243658001879,0.1875654850215991,0.12
Latina Women,0.8606965174129353,0.28283763663434647,0.12
Other,0.6434611048478016,0.06560222406921279,0.12
White Women,0.5778588807785888,0.0,0.12
Asian Women,0.7265547877591313,0.1698985486211403,0.125
Black Women,0.7500782962730974,0.1934220571351064,0.125
Latina Women,0.8489694385216773,0.2923131993836863,0.125
Other,0.6268862197554419,0.0702299806174509,0.125
White Women,0.556656239137991,0.0,0.125
Asian Women,0.7156959526159921,0.17224791646722604,0.13
Black Women,0.7413091136861886,0.19786107753742255,0.13
Latina Women,0.8429282160625444,0.2994801799137784,0.13
Other,0.6165120111005117,0.07306397495174566,0.13
White Women,0.543448036148766,0.0,0.13
Asian Women,0.7012175057584732,0.17723418980435435,0.135
Black Women,0.722831193235202,0.1988478772810831,0.135
Latina Women,0.8326226012793176,0.3086392853251988,0.135
Other,0.6021051946925678,0.078121878738449,0.135
White Women,0.5239833159541188,0.0,0.135
Asian Women,0.6939782823297137,0.1805962871958937,0.14
Black Women,0.7124960851863451,0.19911409005252512,0.14
Latina Women,0.8265813788201848,0.3131993836863648,0.14
Other,0.5933028358338392,0.07992084070001926,0.14
White Women,0.51338199513382,0.0,0.14
Asian Women,0.6788417242513984,0.18057964569734908,0.145
Black Women,0.6980895709364234,0.19982749238237407,0.145
Latina Women,0.8176972281449894,0.31943514959094,0.145
Other,0.5803052640707658,0.08204318551671641,0.145
White Women,0.49826207855404936,0.0,0.145
Asian Women,0.6725896676538335,0.18266961204034726,0.15
Black Women,0.6852489821484498,0.19532892653496348,0.15
Latina Women,0.8098791755508173,0.31995911993733106,0.15
Other,0.5723484519989593,0.08242839638547306,0.15
White Women,0.4899200556134863,0.0,0.15
Asian Women,0.6643632773938796,0.1869562561912379,0.155
Black Women,0.6758534293767616,0.19844640817411996,0.155
Latina Women,0.7953091684434968,0.3179021472408551,0.155
Other,0.5605866793860029,0.08317965818336126,0.155
White Women,0.47740702120264167,0.0,0.155
Asian Women,0.6551497203027311,0.18625851418524764,0.16
Black Women,0.6683369871594113,0.19944578104192778,0.16
Latina Women,0.7857142857142857,0.3168230795968022,0.16
Other,0.5533019686063655,0.08441076248888202,0.16
White Women,0.46889120611748347,0.0,0.16
Asian Women,0.6433037183283975,0.18675175447716358,0.165
Black Women,0.6564359536486063,0.19988398979737237,0.165
Latina Women,0.775408670931059,0.3188567070798251,0.165
Other,0.5432096088804094,0.08665764502917545,0.165
White Women,0.4565519638512339,0.0,0.165
